n,k_reject_min,k_accept_max
1,,
2,,
3,,
4,,
5,,
6,6.0,
7,7.0,
8,7.0,
9,7.0,
10,7.0,
11,7.0,
12,7.0,
13,8.0,
14,8.0,
15,8.0,
16,8.0,
17,8.0,
18,8.0,
19,9.0,
20,9.0,
21,9.0,
22,9.0,
23,9.0,
24,9.0,
25,10.0,
26,10.0,
27,10.0,
28,10.0,
29,10.0,
30,10.0,
31,11.0,
32,11.0,
33,11.0,
34,11.0,
35,11.0,
36,11.0,
37,12.0,
38,12.0,
39,12.0,
40,12.0,
41,12.0,
42,12.0,
43,13.0,
44,13.0,
45,13.0,
46,13.0,
47,13.0,
48,13.0,
49,13.0,0.0
50,14.0,0.0
51,14.0,0.0
52,14.0,0.0
53,14.0,0.0
54,14.0,0.0
55,14.0,0.0
56,15.0,0.0
57,15.0,0.0
58,15.0,0.0
59,15.0,0.0
60,15.0,0.0
61,15.0,0.0
62,15.0,0.0
63,16.0,0.0
64,16.0,0.0
65,16.0,0.0
66,16.0,0.0
67,16.0,0.0
68,16.0,1.0
69,17.0,1.0
70,17.0,1.0
71,17.0,1.0
72,17.0,1.0
73,17.0,1.0
74,17.0,1.0
75,17.0,1.0
76,18.0,1.0
77,18.0,1.0
78,18.0,1.0
79,18.0,1.0
80,18.0,1.0
81,18.0,1.0
82,18.0,1.0
83,19.0,1.0
84,19.0,1.0
85,19.0,2.0
86,19.0,2.0
87,19.0,2.0
88,19.0,2.0
89,19.0,2.0
90,20.0,2.0
91,20.0,2.0
92,20.0,2.0
93,20.0,2.0
94,20.0,2.0
95,20.0,2.0
96,21.0,2.0
97,21.0,2.0
98,21.0,2.0
99,21.0,2.0
100,21.0,2.0
101,21.0,3.0
102,21.0,3.0
103,22.0,3.0
104,22.0,3.0
105,22.0,3.0
106,22.0,3.0
107,22.0,3.0
108,22.0,3.0
109,22.0,3.0
110,23.0,3.0
111,23.0,3.0
112,23.0,3.0
113,23.0,3.0
114,23.0,3.0
115,23.0,3.0
116,23.0,3.0
117,23.0,4.0
118,24.0,4.0
119,24.0,4.0
120,24.0,4.0
121,24.0,4.0
122,24.0,4.0
123,24.0,4.0
124,24.0,4.0
125,25.0,4.0
126,25.0,4.0
127,25.0,4.0
128,25.0,4.0
129,25.0,4.0
130,25.0,4.0
131,25.0,4.0
132,26.0,4.0
133,26.0,5.0
134,26.0,5.0
135,26.0,5.0
136,26.0,5.0
137,26.0,5.0
138,26.0,5.0
139,27.0,5.0
140,27.0,5.0
141,27.0,5.0
142,27.0,5.0
143,27.0,5.0
144,27.0,5.0
145,27.0,5.0
146,28.0,5.0
147,28.0,5.0
148,28.0,6.0
149,28.0,6.0
150,28.0,6.0
151,28.0,6.0
152,28.0,6.0
153,28.0,6.0
154,29.0,6.0
155,29.0,6.0
156,29.0,6.0
157,29.0,6.0
158,29.0,6.0
159,29.0,6.0
160,29.0,6.0
161,30.0,6.0
162,30.0,6.0
163,30.0,7.0
164,30.0,7.0
165,30.0,7.0
166,30.0,7.0
167,30.0,7.0
168,31.0,7.0
169,31.0,7.0
170,31.0,7.0
171,31.0,7.0
172,31.0,7.0
173,31.0,7.0
174,31.0,7.0
175,31.0,7.0
176,32.0,7.0
177,32.0,8.0
178,32.0,8.0
179,32.0,8.0
180,32.0,8.0
181,32.0,8.0
182,32.0,8.0
183,33.0,8.0
184,33.0,8.0
185,33.0,8.0
186,33.0,8.0
187,33.0,8.0
188,33.0,8.0
189,33.0,8.0
190,33.0,8.0
191,34.0,8.0
192,34.0,9.0
193,34.0,9.0
194,34.0,9.0
195,34.0,9.0
