t_opt,N_max,n,k_accept_max,k_reject_min
25,50,1,,
25,50,2,,
25,50,3,,3
25,50,4,,3
25,50,5,,4
25,50,6,,4
25,50,7,,4
25,50,8,,4
25,50,9,,5
25,50,10,,5
25,50,11,,5
25,50,12,,5
25,50,13,,6
25,50,14,,6
25,50,15,,6
25,50,16,,6
25,50,17,,6
25,50,18,,7
25,50,19,,7
25,50,20,,7
25,50,21,,7
25,50,22,,7
25,50,23,,8
25,50,24,,8
25,50,25,,8
25,50,26,,8
25,50,27,0,8
25,50,28,0,9
25,50,29,0,9
25,50,30,0,9
25,50,31,0,9
25,50,32,0,9
25,50,33,0,10
25,50,34,0,10
25,50,35,0,10
25,50,36,0,10
25,50,37,0,10
25,50,38,0,10
25,50,39,0,11
25,50,40,0,11
25,50,41,0,11
25,50,42,0,11
25,50,43,0,11
25,50,44,0,11
25,50,45,0,12
25,50,46,0,12
25,50,47,0,12
25,50,48,0,12
25,50,49,0,12
25,50,50,0,12
25,100,1,,
25,100,2,,
25,100,3,,3
25,100,4,,3
25,100,5,,4
25,100,6,,4
25,100,7,,4
25,100,8,,4
25,100,9,,5
25,100,10,,5
25,100,11,,5
25,100,12,,5
25,100,13,,6
25,100,14,,6
25,100,15,,6
25,100,16,,6
25,100,17,,6
25,100,18,,7
25,100,19,,7
25,100,20,,7
25,100,21,,7
25,100,22,,7
25,100,23,,8
25,100,24,,8
25,100,25,,8
25,100,26,,8
25,100,27,0,8
25,100,28,0,9
25,100,29,0,9
25,100,30,0,9
25,100,31,0,9
25,100,32,0,9
25,100,33,0,10
25,100,34,0,10
25,100,35,0,10
25,100,36,0,10
25,100,37,0,10
25,100,38,0,10
25,100,39,0,11
25,100,40,0,11
25,100,41,0,11
25,100,42,0,11
25,100,43,0,11
25,100,44,0,11
25,100,45,0,12
25,100,46,0,12
25,100,47,0,12
25,100,48,0,12
25,100,49,0,12
25,100,50,0,12
25,100,51,0,13
25,100,52,0,13
25,100,53,0,13
25,100,54,0,13
25,100,55,0,13
25,100,56,1,13
25,100,57,1,14
25,100,58,1,14
25,100,59,1,14
25,100,60,1,14
25,100,61,1,14
25,100,62,1,14
25,100,63,1,15
25,100,64,1,15
25,100,65,1,15
25,100,66,1,15
25,100,67,1,15
25,100,68,1,15
25,100,69,1,15
25,100,70,1,16
25,100,71,1,16
25,100,72,1,16
25,100,73,1,16
25,100,74,1,16
25,100,75,1,16
25,100,76,1,17
25,100,77,2,17
25,100,78,2,17
25,100,79,2,17
25,100,80,2,17
25,100,81,2,17
25,100,82,2,17
25,100,83,2,18
25,100,84,2,18
25,100,85,2,18
25,100,86,2,18
25,100,87,2,18
25,100,88,2,18
25,100,89,2,19
25,100,90,2,19
25,100,91,2,19
25,100,92,2,19
25,100,93,2,19
25,100,94,2,19
25,100,95,2,19
25,100,96,3,20
25,100,97,3,20
25,100,98,3,20
25,100,99,3,20
25,100,100,3,20
25,200,1,,
25,200,2,,
25,200,3,,3
25,200,4,,3
25,200,5,,4
25,200,6,,4
25,200,7,,4
25,200,8,,4
25,200,9,,5
25,200,10,,5
25,200,11,,5
25,200,12,,5
25,200,13,,6
25,200,14,,6
25,200,15,,6
25,200,16,,6
25,200,17,,6
25,200,18,,7
25,200,19,,7
25,200,20,,7
25,200,21,,7
25,200,22,,7
25,200,23,,8
25,200,24,,8
25,200,25,,8
25,200,26,,8
25,200,27,0,8
25,200,28,0,9
25,200,29,0,9
25,200,30,0,9
25,200,31,0,9
25,200,32,0,9
25,200,33,0,10
25,200,34,0,10
25,200,35,0,10
25,200,36,0,10
25,200,37,0,10
25,200,38,0,10
25,200,39,0,11
25,200,40,0,11
25,200,41,0,11
25,200,42,0,11
25,200,43,0,11
25,200,44,0,11
25,200,45,0,12
25,200,46,0,12
25,200,47,0,12
25,200,48,0,12
25,200,49,0,12
25,200,50,0,12
25,200,51,0,13
25,200,52,0,13
25,200,53,0,13
25,200,54,0,13
25,200,55,0,13
25,200,56,1,13
25,200,57,1,14
25,200,58,1,14
25,200,59,1,14
25,200,60,1,14
25,200,61,1,14
25,200,62,1,14
25,200,63,1,15
25,200,64,1,15
25,200,65,1,15
25,200,66,1,15
25,200,67,1,15
25,200,68,1,15
25,200,69,1,15
25,200,70,1,16
25,200,71,1,16
25,200,72,1,16
25,200,73,1,16
25,200,74,1,16
25,200,75,1,16
25,200,76,1,17
25,200,77,2,17
25,200,78,2,17
25,200,79,2,17
25,200,80,2,17
25,200,81,2,17
25,200,82,2,17
25,200,83,2,18
25,200,84,2,18
25,200,85,2,18
25,200,86,2,18
25,200,87,2,18
25,200,88,2,18
25,200,89,2,19
25,200,90,2,19
25,200,91,2,19
25,200,92,2,19
25,200,93,2,19
25,200,94,2,19
25,200,95,2,19
25,200,96,3,20
25,200,97,3,20
25,200,98,3,20
25,200,99,3,20
25,200,100,3,20
25,200,101,3,20
25,200,102,3,20
25,200,103,3,21
25,200,104,3,21
25,200,105,3,21
25,200,106,3,21
25,200,107,3,21
25,200,108,3,21
25,200,109,3,22
25,200,110,3,22
25,200,111,3,22
25,200,112,3,22
25,200,113,3,22
25,200,114,4,22
25,200,115,4,22
25,200,116,4,23
25,200,117,4,23
25,200,118,4,23
25,200,119,4,23
25,200,120,4,23
25,200,121,4,23
25,200,122,4,23
25,200,123,4,24
25,200,124,4,24
25,200,125,4,24
25,200,126,4,24
25,200,127,4,24
25,200,128,4,24
25,200,129,4,24
25,200,130,4,25
25,200,131,5,25
25,200,132,5,25
25,200,133,5,25
25,200,134,5,25
25,200,135,5,25
25,200,136,5,25
25,200,137,5,26
25,200,138,5,26
25,200,139,5,26
25,200,140,5,26
25,200,141,5,26
25,200,142,5,26
25,200,143,5,26
25,200,144,5,27
25,200,145,5,27
25,200,146,5,27
25,200,147,6,27
25,200,148,6,27
25,200,149,6,27
25,200,150,6,27
25,200,151,6,28
25,200,152,6,28
25,200,153,6,28
25,200,154,6,28
25,200,155,6,28
25,200,156,6,28
25,200,157,6,28
25,200,158,6,28
25,200,159,6,29
25,200,160,6,29
25,200,161,6,29
25,200,162,6,29
25,200,163,7,29
25,200,164,7,29
25,200,165,7,29
25,200,166,7,30
25,200,167,7,30
25,200,168,7,30
25,200,169,7,30
25,200,170,7,30
25,200,171,7,30
25,200,172,7,30
25,200,173,7,31
25,200,174,7,31
25,200,175,7,31
25,200,176,7,31
25,200,177,7,31
25,200,178,8,31
25,200,179,8,31
25,200,180,8,32
25,200,181,8,32
25,200,182,8,32
25,200,183,8,32
25,200,184,8,32
25,200,185,8,32
25,200,186,8,32
25,200,187,8,32
25,200,188,8,33
25,200,189,8,33
25,200,190,8,33
25,200,191,8,33
25,200,192,8,33
25,200,193,8,33
25,200,194,9,33
25,200,195,9,34
25,200,196,9,34
25,200,197,9,34
25,200,198,9,34
25,200,199,9,34
25,200,200,9,34
25,400,1,,
25,400,2,,
25,400,3,,3
25,400,4,,3
25,400,5,,4
25,400,6,,4
25,400,7,,4
25,400,8,,4
25,400,9,,5
25,400,10,,5
25,400,11,,5
25,400,12,,5
25,400,13,,6
25,400,14,,6
25,400,15,,6
25,400,16,,6
25,400,17,,6
25,400,18,,7
25,400,19,,7
25,400,20,,7
25,400,21,,7
25,400,22,,7
25,400,23,,8
25,400,24,,8
25,400,25,,8
25,400,26,,8
25,400,27,0,8
25,400,28,0,9
25,400,29,0,9
25,400,30,0,9
25,400,31,0,9
25,400,32,0,9
25,400,33,0,10
25,400,34,0,10
25,400,35,0,10
25,400,36,0,10
25,400,37,0,10
25,400,38,0,10
25,400,39,0,11
25,400,40,0,11
25,400,41,0,11
25,400,42,0,11
25,400,43,0,11
25,400,44,0,11
25,400,45,0,12
25,400,46,0,12
25,400,47,0,12
25,400,48,0,12
25,400,49,0,12
25,400,50,0,12
25,400,51,0,13
25,400,52,0,13
25,400,53,0,13
25,400,54,0,13
25,400,55,0,13
25,400,56,1,13
25,400,57,1,14
25,400,58,1,14
25,400,59,1,14
25,400,60,1,14
25,400,61,1,14
25,400,62,1,14
25,400,63,1,15
25,400,64,1,15
25,400,65,1,15
25,400,66,1,15
25,400,67,1,15
25,400,68,1,15
25,400,69,1,15
25,400,70,1,16
25,400,71,1,16
25,400,72,1,16
25,400,73,1,16
25,400,74,1,16
25,400,75,1,16
25,400,76,1,17
25,400,77,2,17
25,400,78,2,17
25,400,79,2,17
25,400,80,2,17
25,400,81,2,17
25,400,82,2,17
25,400,83,2,18
25,400,84,2,18
25,400,85,2,18
25,400,86,2,18
25,400,87,2,18
25,400,88,2,18
25,400,89,2,19
25,400,90,2,19
25,400,91,2,19
25,400,92,2,19
25,400,93,2,19
25,400,94,2,19
25,400,95,2,19
25,400,96,3,20
25,400,97,3,20
25,400,98,3,20
25,400,99,3,20
25,400,100,3,20
25,400,101,3,20
25,400,102,3,20
25,400,103,3,21
25,400,104,3,21
25,400,105,3,21
25,400,106,3,21
25,400,107,3,21
25,400,108,3,21
25,400,109,3,22
25,400,110,3,22
25,400,111,3,22
25,400,112,3,22
25,400,113,3,22
25,400,114,4,22
25,400,115,4,22
25,400,116,4,23
25,400,117,4,23
25,400,118,4,23
25,400,119,4,23
25,400,120,4,23
25,400,121,4,23
25,400,122,4,23
25,400,123,4,24
25,400,124,4,24
25,400,125,4,24
25,400,126,4,24
25,400,127,4,24
25,400,128,4,24
25,400,129,4,24
25,400,130,4,25
25,400,131,5,25
25,400,132,5,25
25,400,133,5,25
25,400,134,5,25
25,400,135,5,25
25,400,136,5,25
25,400,137,5,26
25,400,138,5,26
25,400,139,5,26
25,400,140,5,26
25,400,141,5,26
25,400,142,5,26
25,400,143,5,26
25,400,144,5,27
25,400,145,5,27
25,400,146,5,27
25,400,147,6,27
25,400,148,6,27
25,400,149,6,27
25,400,150,6,27
25,400,151,6,28
25,400,152,6,28
25,400,153,6,28
25,400,154,6,28
25,400,155,6,28
25,400,156,6,28
25,400,157,6,28
25,400,158,6,28
