p1,kappa,N_max,h_accept,h_reject,feasible_terminal_count
0.12,1.0,524,-8.251291798606495,1.8903717578961645,0
0.12,1.0,838,-8.251291798606495,1.8903717578961645,0
0.12,1.0,1153,-8.251291798606495,1.8903717578961645,0
0.12,1.0,1467,-8.251291798606495,1.8903717578961645,0
0.12,1.0,1782,-8.251291798606495,1.8903717578961645,0
0.12,1.0,2096,-8.251291798606495,1.8903717578961645,0
0.12,1.0,524,-8.251291798606495,2.3903717578961645,0
0.12,1.0,838,-8.251291798606495,2.3903717578961645,0
0.12,1.0,1153,-8.251291798606495,2.3903717578961645,0
0.12,1.0,1467,-8.251291798606495,2.3903717578961645,0
0.12,1.0,1782,-8.251291798606495,2.3903717578961645,0
0.12,1.0,2096,-8.251291798606495,2.3903717578961645,0
0.12,1.0,524,-8.251291798606495,2.6403717578961645,0
0.12,1.0,838,-8.251291798606495,2.6403717578961645,0
0.12,1.0,1153,-8.251291798606495,2.6403717578961645,0
0.12,1.0,1467,-8.251291798606495,2.6403717578961645,0
0.12,1.0,1782,-8.251291798606495,2.6403717578961645,0
0.12,1.0,2096,-8.251291798606495,2.6403717578961645,0
0.12,1.0,524,-8.251291798606495,2.8903717578961645,0
0.12,1.0,838,-8.251291798606495,2.8903717578961645,0
0.12,1.0,1153,-8.251291798606495,2.8903717578961645,0
0.12,1.0,1467,-8.251291798606495,2.8903717578961645,0
0.12,1.0,1782,-8.251291798606495,2.8903717578961645,0
0.12,1.0,2096,-8.251291798606495,2.8903717578961645,0
0.12,1.0,524,-8.251291798606495,3.3903717578961645,0
0.12,1.0,838,-8.251291798606495,3.3903717578961645,0
0.12,1.0,1153,-8.251291798606495,3.3903717578961645,0
0.12,1.0,1467,-8.251291798606495,3.3903717578961645,0
0.12,1.0,1782,-8.251291798606495,3.3903717578961645,0
0.12,1.0,2096,-8.251291798606495,3.3903717578961645,0
0.12,1.0,524,-8.251291798606495,3.8903717578961645,0
0.12,1.0,838,-8.251291798606495,3.8903717578961645,0
0.12,1.0,1153,-8.251291798606495,3.8903717578961645,0
0.12,1.0,1467,-8.251291798606495,3.8903717578961645,0
0.12,1.0,1782,-8.251291798606495,3.8903717578961645,0
0.12,1.0,2096,-8.251291798606495,3.8903717578961645,0
0.12,1.0,524,-8.251291798606495,4.8903717578961645,0
0.12,1.0,838,-8.251291798606495,4.8903717578961645,0
0.12,1.0,1153,-8.251291798606495,4.8903717578961645,0
0.12,1.0,1467,-8.251291798606495,4.8903717578961645,0
0.12,1.0,1782,-8.251291798606495,4.8903717578961645,0
0.12,1.0,2096,-8.251291798606495,4.8903717578961645,1
0.12,1.0,524,-7.251291798606495,1.8903717578961645,0
0.12,1.0,838,-7.251291798606495,1.8903717578961645,0
0.12,1.0,1153,-7.251291798606495,1.8903717578961645,0
0.12,1.0,1467,-7.251291798606495,1.8903717578961645,0
0.12,1.0,1782,-7.251291798606495,1.8903717578961645,0
0.12,1.0,2096,-7.251291798606495,1.8903717578961645,0
0.12,1.0,524,-7.251291798606495,2.3903717578961645,0
0.12,1.0,838,-7.251291798606495,2.3903717578961645,0
0.12,1.0,1153,-7.251291798606495,2.3903717578961645,0
0.12,1.0,1467,-7.251291798606495,2.3903717578961645,0
0.12,1.0,1782,-7.251291798606495,2.3903717578961645,0
0.12,1.0,2096,-7.251291798606495,2.3903717578961645,0
0.12,1.0,524,-7.251291798606495,2.6403717578961645,0
0.12,1.0,838,-7.251291798606495,2.6403717578961645,0
0.12,1.0,1153,-7.251291798606495,2.6403717578961645,0
0.12,1.0,1467,-7.251291798606495,2.6403717578961645,0
0.12,1.0,1782,-7.251291798606495,2.6403717578961645,0
0.12,1.0,2096,-7.251291798606495,2.6403717578961645,0
0.12,1.0,524,-7.251291798606495,2.8903717578961645,0
0.12,1.0,838,-7.251291798606495,2.8903717578961645,0
0.12,1.0,1153,-7.251291798606495,2.8903717578961645,0
0.12,1.0,1467,-7.251291798606495,2.8903717578961645,0
0.12,1.0,1782,-7.251291798606495,2.8903717578961645,0
0.12,1.0,2096,-7.251291798606495,2.8903717578961645,0
0.12,1.0,524,-7.251291798606495,3.3903717578961645,0
0.12,1.0,838,-7.251291798606495,3.3903717578961645,0
0.12,1.0,1153,-7.251291798606495,3.3903717578961645,0
0.12,1.0,1467,-7.251291798606495,3.3903717578961645,0
0.12,1.0,1782,-7.251291798606495,3.3903717578961645,0
0.12,1.0,2096,-7.251291798606495,3.3903717578961645,0
0.12,1.0,524,-7.251291798606495,3.8903717578961645,0
0.12,1.0,838,-7.251291798606495,3.8903717578961645,0
0.12,1.0,1153,-7.251291798606495,3.8903717578961645,0
0.12,1.0,1467,-7.251291798606495,3.8903717578961645,0
0.12,1.0,1782,-7.251291798606495,3.8903717578961645,0
0.12,1.0,2096,-7.251291798606495,3.8903717578961645,0
0.12,1.0,524,-7.251291798606495,4.8903717578961645,0
0.12,1.0,838,-7.251291798606495,4.8903717578961645,0
0.12,1.0,1153,-7.251291798606495,4.8903717578961645,0
0.12,1.0,1467,-7.251291798606495,4.8903717578961645,0
0.12,1.0,1782,-7.251291798606495,4.8903717578961645,0
0.12,1.0,2096,-7.251291798606495,4.8903717578961645,1
0.12,1.0,524,-6.251291798606495,1.8903717578961645,0
0.12,1.0,838,-6.251291798606495,1.8903717578961645,0
0.12,1.0,1153,-6.251291798606495,1.8903717578961645,0
0.12,1.0,1467,-6.251291798606495,1.8903717578961645,0
0.12,1.0,1782,-6.251291798606495,1.8903717578961645,0
0.12,1.0,2096,-6.251291798606495,1.8903717578961645,0
0.12,1.0,524,-6.251291798606495,2.3903717578961645,0
0.12,1.0,838,-6.251291798606495,2.3903717578961645,0
0.12,1.0,1153,-6.251291798606495,2.3903717578961645,0
0.12,1.0,1467,-6.251291798606495,2.3903717578961645,0
0.12,1.0,1782,-6.251291798606495,2.3903717578961645,0
0.12,1.0,2096,-6.251291798606495,2.3903717578961645,0
0.12,1.0,524,-6.251291798606495,2.6403717578961645,0
0.12,1.0,838,-6.251291798606495,2.6403717578961645,0
0.12,1.0,1153,-6.251291798606495,2.6403717578961645,0
0.12,1.0,1467,-6.251291798606495,2.6403717578961645,0
