t_opt,t,k,official_lower,scipy_lower,official_upper,scipy_upper,max_abs_error
25,25,0,0.0,0.0,0.10847921583285143,0.10847921583285101,4.163336342344337e-16
25,25,2,0.00448508292932369,0.004485082929323675,0.27271281909876155,0.2727128190987614,1.6653345369377348e-16
25,25,4,0.02796574793294128,0.027965747932941192,0.382918089065159,0.38291808906515856,4.440892098500626e-16
25,50,3,0.00661499320199663,0.006614993201996652,0.17875752279341764,0.1787575227934181,4.718447854656915e-16
25,50,5,0.021030862498671483,0.021030862498671636,0.23655459309600457,0.23655459309600496,3.885780586188048e-16
25,50,7,0.0402424855084693,0.040242485508469414,0.28915206105847663,0.2891520610584774,7.771561172376096e-16
25,100,8,0.02412669728969659,0.024126697289696894,0.1690050623838178,0.16900506238381674,1.0547118733938987e-15
25,100,10,0.035257016924756905,0.0352570169247568,0.19530204929017508,0.1953020492901756,5.273559366969494e-16
25,100,12,0.047344611938149116,0.04734461193814915,0.22066032490729218,0.22066032490729034,1.8318679906315083e-15
25,200,18,0.041888565207672715,0.04188856520767267,0.15530539448985872,0.15530539448986067,1.942890293094024e-15
25,200,20,0.048763613569434865,0.04876361356943498,0.1676182464409351,0.16761824644093612,1.0269562977782698e-15
25,200,22,0.055821178797969905,0.055821178797969453,0.17975834002079208,0.17975834002079424,2.1649348980190553e-15
25,400,38,0.05652060102584072,0.056520601025842374,0.14250931934935734,0.1425093193493586,1.6514567491299204e-15
25,400,40,0.06040618367058974,0.06040618367058892,0.14836925510605373,0.14836925510605828,4.551914400963142e-15
25,400,42,0.06432592532235172,0.0643259253223533,0.15419724423155606,0.15419724423155906,2.9976021664879227e-15
25,800,78,0.06781139130780911,0.06781139130780915,0.131933270824219,0.13193327082422096,1.970645868709653e-15
25,800,80,0.06991118350912072,0.06991118350912048,0.13475357527834933,0.1347535752783516,2.275957200481571e-15
25,800,82,0.0720173038067806,0.07201730380677944,0.1375679749621111,0.13756797496210918,1.915134717478395e-15
25,1600,158,0.0763061522676618,0.07630615226766563,0.12366821442709097,0.12366821442708649,4.4825254619240695e-15
25,1600,160,0.07741189461663148,0.07741189461663163,0.12503722878689572,0.12503722878689566,1.5265566588595902e-16
25,1600,162,0.07851880165663216,0.0785188016566323,0.12640515448288125,0.12640515448287126,9.992007221626409e-15
25,3200,318,0.08262403602438048,0.08262403602438052,0.11739874646157605,0.11739874646157575,3.0531133177191805e-16
25,3200,320,0.08319694090087336,0.0831969409008788,0.11806779805116593,0.11806779805115958,6.356026815979021e-15
25,3200,322,0.08377005916694139,0.08377005916694634,0.11873664953972028,0.1187366495397207,4.954370247389761e-15
50,25,0,0.0,0.0,0.132606626640531,0.13260662664053077,2.220446049250313e-16
50,25,2,0.004507544474234951,0.004507544474234975,0.28180216150209486,0.28180216150209453,3.3306690738754696e-16
50,25,4,0.027900269437613427,0.027900269437613527,0.3899551668674159,0.38995516686741577,1.1102230246251565e-16
50,50,3,0.00688785738770204,0.00688785738770207,0.1761062413027929,0.17610624130279307,1.6653345369377348e-16
50,50,5,0.021684130050491763,0.021684130050491742,0.233419894230729,0.2334198942307292,1.942890293094024e-16
50,50,7,0.041281437515713386,0.04128143751571361,0.2857735207424358,0.2857735207424357,2.220446049250313e-16
50,100,8,0.02499954602734193,0.024999546027341918,0.16414246334438848,0.16414246334438934,8.604228440844963e-16
50,100,10,0.03640170281202228,0.03640170281202216,0.19029096096668024,0.19029096096667927,9.71445146547012e-16
50,100,12,0.04875087362957818,0.048750873629577904,0.21553787632128546,0.21553787632128618,7.216449660063518e-16
50,200,18,0.04302520518106743,0.043025205181067464,0.15111903518954123,0.15111903518953998,1.2490009027033011e-15
50,200,20,0.050023293745631754,0.05002329374563114,0.16336476511033193,0.1633647651103312,7.216449660063518e-16
50,200,22,0.057200028954351355,0.0572000289543509,0.17544529977023143,0.17544529977023185,4.579669976578771e-16
50,400,38,0.057602827839265555,0.05760282783926457,0.13942223044489016,0.13942223044488547,4.690692279041286e-15
50,400,40,0.06153598228842943,0.061535982288429276,0.14525365329671439,0.1452536532967141,2.7755575615628914e-16
50,400,42,0.0655023669400776,0.06550236694007656,0.15105464093684953,0.15105464093685006,1.0408340855860843e-15
50,800,78,0.0687053957939661,0.06870539579396748,0.1297784854265878,0.12977848542659046,2.6645352591003757e-15
50,800,80,0.07082240710933208,0.07082240710933177,0.13258757579195687,0.13258757579196245,5.578870698741412e-15
50,800,82,0.07294555770331647,0.07294555770331654,0.13539104930609,0.13539104930609552,5.523359547510154e-15
50,1600,158,0.07699247710974856,0.07699247710974094,0.1221952654906859,0.1221952654906856,7.618905506490137e-15
50,1600,160,0.07810427058825117,0.07810427058824733,0.12356008527553204,0.1235600852755375,5.4539706084710815e-15
50,1600,162,0.07921719320339339,0.07921719320338935,0.12492386934610973,0.1249238693461096,4.038436252074007e-15
50,3200,318,0.08312987682299823,0.0831298768229986,0.11639863322727399,0.11639863322727406,3.7470027081099033e-16
50,3200,320,0.08370488024863382,0.08370488024863891,0.11706616331572613,0.11706616331573937,1.3239409568654992e-14
50,3200,322,0.08428009062395389,0.08428009062395446,0.1177335028210309,0.1177335028210246,6.300515664747763e-15
100,25,0,0.0,0.0,0.17682504945234298,0.1768250494523436,6.106226635438361e-16
100,25,2,0.004110979650953405,0.004110979650953414,0.3124113225356048,0.31241132253560455,2.220446049250313e-16
100,25,4,0.025769586214863884,0.02576958621486397,0.4167740285268731,0.41677402852687545,2.3314683517128287e-15
100,50,3,0.006814961342823465,0.006814961342823355,0.18218302377816223,0.1821830237781643,2.0816681711721685e-15
100,50,5,0.021440597246358127,0.021440597246358047,0.23902612069057808,0.23902612069057733,7.494005416219807e-16
100,50,7,0.040830994826940296,0.04083099482693965,0.2910925366601467,0.2910925366601493,2.609024107869118e-15
100,100,8,0.025413792600911915,0.025413792600912016,0.16277010047816665,0.1627701004781672,5.551115123125783e-16
100,100,10,0.036933706416597274,0.036933706416596865,0.18882047448993355,0.1888204744899347,1.1379786002407855e-15
100,100,12,0.049393562935088786,0.04939356293508917,0.21399112706445916,0.21399112706445964,4.718447854656915e-16
