p1,kappa,plan_hash,n,k_accept_max,k_reject_min,terminal
0.12,1.0,8151ae3d945546ac,1,,,False
0.12,1.0,8151ae3d945546ac,2,,,False
0.12,1.0,8151ae3d945546ac,3,,,False
0.12,1.0,8151ae3d945546ac,4,,,False
0.12,1.0,8151ae3d945546ac,5,,,False
0.12,1.0,8151ae3d945546ac,6,,,False
0.12,1.0,8151ae3d945546ac,7,,,False
0.12,1.0,8151ae3d945546ac,8,,,False
0.12,1.0,8151ae3d945546ac,9,,,False
0.12,1.0,8151ae3d945546ac,10,,,False
0.12,1.0,8151ae3d945546ac,11,,,False
0.12,1.0,8151ae3d945546ac,12,,,False
0.12,1.0,8151ae3d945546ac,13,,,False
0.12,1.0,8151ae3d945546ac,14,,,False
0.12,1.0,8151ae3d945546ac,15,,,False
0.12,1.0,8151ae3d945546ac,16,,,False
0.12,1.0,8151ae3d945546ac,17,,,False
0.12,1.0,8151ae3d945546ac,18,,,False
0.12,1.0,8151ae3d945546ac,19,,,False
0.12,1.0,8151ae3d945546ac,20,,,False
0.12,1.0,8151ae3d945546ac,21,,,False
0.12,1.0,8151ae3d945546ac,22,,,False
0.12,1.0,8151ae3d945546ac,23,,,False
0.12,1.0,8151ae3d945546ac,24,,,False
0.12,1.0,8151ae3d945546ac,25,,,False
0.12,1.0,8151ae3d945546ac,26,,,False
0.12,1.0,8151ae3d945546ac,27,,27,False
0.12,1.0,8151ae3d945546ac,28,,27,False
0.12,1.0,8151ae3d945546ac,29,,28,False
0.12,1.0,8151ae3d945546ac,30,,28,False
0.12,1.0,8151ae3d945546ac,31,,28,False
0.12,1.0,8151ae3d945546ac,32,,28,False
0.12,1.0,8151ae3d945546ac,33,,28,False
0.12,1.0,8151ae3d945546ac,34,,28,False
0.12,1.0,8151ae3d945546ac,35,,28,False
0.12,1.0,8151ae3d945546ac,36,,28,False
0.12,1.0,8151ae3d945546ac,37,,28,False
0.12,1.0,8151ae3d945546ac,38,,29,False
0.12,1.0,8151ae3d945546ac,39,,29,False
0.12,1.0,8151ae3d945546ac,40,,29,False
0.12,1.0,8151ae3d945546ac,41,,29,False
0.12,1.0,8151ae3d945546ac,42,,29,False
0.12,1.0,8151ae3d945546ac,43,,29,False
0.12,1.0,8151ae3d945546ac,44,,29,False
0.12,1.0,8151ae3d945546ac,45,,29,False
0.12,1.0,8151ae3d945546ac,46,,29,False
0.12,1.0,8151ae3d945546ac,47,,30,False
0.12,1.0,8151ae3d945546ac,48,,30,False
0.12,1.0,8151ae3d945546ac,49,,30,False
0.12,1.0,8151ae3d945546ac,50,,30,False
0.12,1.0,8151ae3d945546ac,51,,30,False
0.12,1.0,8151ae3d945546ac,52,,30,False
0.12,1.0,8151ae3d945546ac,53,,30,False
0.12,1.0,8151ae3d945546ac,54,,30,False
0.12,1.0,8151ae3d945546ac,55,,30,False
0.12,1.0,8151ae3d945546ac,56,,31,False
0.12,1.0,8151ae3d945546ac,57,,31,False
0.12,1.0,8151ae3d945546ac,58,,31,False
0.12,1.0,8151ae3d945546ac,59,,31,False
0.12,1.0,8151ae3d945546ac,60,,31,False
0.12,1.0,8151ae3d945546ac,61,,31,False
0.12,1.0,8151ae3d945546ac,62,,31,False
0.12,1.0,8151ae3d945546ac,63,,31,False
0.12,1.0,8151ae3d945546ac,64,,31,False
0.12,1.0,8151ae3d945546ac,65,,32,False
0.12,1.0,8151ae3d945546ac,66,,32,False
0.12,1.0,8151ae3d945546ac,67,,32,False
0.12,1.0,8151ae3d945546ac,68,,32,False
0.12,1.0,8151ae3d945546ac,69,,32,False
0.12,1.0,8151ae3d945546ac,70,,32,False
0.12,1.0,8151ae3d945546ac,71,,32,False
0.12,1.0,8151ae3d945546ac,72,,32,False
0.12,1.0,8151ae3d945546ac,73,,32,False
0.12,1.0,8151ae3d945546ac,74,,32,False
0.12,1.0,8151ae3d945546ac,75,,33,False
0.12,1.0,8151ae3d945546ac,76,,33,False
0.12,1.0,8151ae3d945546ac,77,,33,False
0.12,1.0,8151ae3d945546ac,78,,33,False
0.12,1.0,8151ae3d945546ac,79,,33,False
0.12,1.0,8151ae3d945546ac,80,,33,False
0.12,1.0,8151ae3d945546ac,81,,33,False
0.12,1.0,8151ae3d945546ac,82,,33,False
0.12,1.0,8151ae3d945546ac,83,,33,False
0.12,1.0,8151ae3d945546ac,84,,34,False
0.12,1.0,8151ae3d945546ac,85,,34,False
