n,k_accept_max,k_reject_min
1,,
2,,
3,,
4,,
5,,
6,,6
7,,6
8,,6
9,,6
10,,7
11,,7
12,,7
13,,7
14,,7
15,,7
16,,8
17,,8
18,,8
19,,8
20,,8
21,,8
22,,8
23,,9
24,,9
25,,9
26,,9
27,,9
28,,9
29,,10
30,,10
31,,10
32,,10
33,,10
34,,10
35,,10
36,,11
37,,11
38,,11
39,,11
40,,11
41,,11
42,,12
43,,12
44,,12
45,,12
46,,12
47,,12
48,,12
49,0,13
50,0,13
51,0,13
52,0,13
53,0,13
54,0,13
55,0,13
56,0,14
57,0,14
58,0,14
59,0,14
60,0,14
61,0,14
62,0,15
63,0,15
64,0,15
65,1,15
66,1,15
67,1,15
68,1,15
69,1,16
70,1,16
71,1,16
72,1,16
73,1,16
74,1,16
75,1,16
76,1,17
77,1,17
78,1,17
79,1,17
80,2,17
81,2,17
82,2,17
83,2,18
84,2,18
85,2,18
86,2,18
87,2,18
88,2,18
89,2,18
90,2,18
91,2,19
92,2,19
93,2,19
94,2,19
95,3,19
96,3,19
97,3,19
98,3,20
99,3,20
100,3,20
101,3,20
102,3,20
103,3,20
104,3,20
105,3,21
106,3,21
107,3,21
108,3,21
109,3,21
110,4,21
111,4,21
112,4,22
113,4,22
114,4,22
115,4,22
116,4,22
117,4,22
118,4,22
119,4,22
120,4,23
121,4,23
122,4,23
123,4,23
124,4,23
125,5,23
126,5,23
127,5,24
128,5,24
129,5,24
130,5,24
131,5,24
132,5,24
133,5,24
134,5,25
135,5,25
136,5,25
137,5,25
138,5,25
139,6,25
140,6,25
141,6,25
142,6,26
143,6,26
144,6,26
145,6,26
146,6,26
147,6,26
148,6,26
149,6,27
150,6,27
151,6,27
152,6,27
153,7,27
154,7,27
155,7,27
156,7,27
157,7,28
158,7,28
159,7,28
160,7,28
161,7,28
162,7,28
163,7,28
164,7,29
165,7,29
166,7,29
167,8,29
168,8,29
169,8,29
170,8,29
171,8,29
172,8,30
173,8,30
174,8,30
175,8,30
176,8,30
177,8,30
178,8,30
179,8,30
180,9,31
181,9,31
182,9,31
183,9,31
184,9,31
185,9,31
186,9,31
187,9,32
188,9,32
189,9,32
190,9,32
191,9,32
192,9,32
193,9,32
194,10,32
195,10,33
196,10,33
197,10,33
198,10,33
199,10,33
200,10,33
201,10,33
202,10,33
203,10,34
204,10,34
205,10,34
206,10,34
207,11,34
208,11,34
209,11,34
210,11,35
211,11,35
212,11,35
213,11,35
214,11,35
215,11,35
216,11,35
217,11,35
218,11,36
219,11,36
220,11,36
221,12,36
222,12,36
223,12,36
224,12,36
225,12,36
226,12,37
227,12,37
228,12,37
229,12,37
230,12,37
231,12,37
232,12,37
233,12,37
234,13,38
235,13,38
236,13,38
237,13,38
238,13,38
239,13,38
240,13,38
241,13,38
242,13,39
243,13,39
244,13,39
245,13,39
246,13,39
247,14,39
248,14,39
249,14,39
250,14,40
251,14,40
252,14,40
253,14,40
254,14,40
255,14,40
256,14,40
257,14,41
258,14,41
259,14,41
260,15,41
261,15,41
262,15,41
263,15,41
264,15,41
265,15,42
266,15,42
267,15,42
268,15,42
269,15,42
270,15,42
271,15,42
272,15,42
273,16,43
274,16,43
275,16,43
276,16,43
277,16,43
278,16,43
279,16,43
280,16,43
281,16,44
282,16,44
283,16,44
284,16,44
285,16,44
286,17,44
287,17,44
288,17,44
289,17,45
290,17,45
291,17,45
292,17,45
293,17,45
294,17,45
295,17,45
296,17,45
297,17,46
298,17,46
299,18,46
300,18,46
301,18,46
302,18,46
303,18,46
304,18,46
305,18,47
306,18,47
307,18,47
