p1,kappa,plan_hash,p,P_accept,P_reject,ASN,P50,P90,P99,terminal_mass,mass_residual
0.12,1.0,8151ae3d945546ac,0.0,1.0,0.0,234.0,234,234,234,0.0,0.0
0.12,1.0,8151ae3d945546ac,0.01,0.9999999999999982,4.434172364538273e-43,257.6498493119222,252,280,307,1.3194504401113046e-129,1.7763568394002505e-15
0.12,1.0,8151ae3d945546ac,0.02,0.9999999999999946,1.4723805732634034e-32,286.48566197503965,280,325,362,3.8107294544920474e-76,5.440092820663267e-15
0.12,1.0,8151ae3d945546ac,0.03,0.9999999999999915,5.813620754742514e-26,322.3215860542141,316,371,426,2.2610369725194047e-48,8.548717289613705e-15
0.12,1.0,8151ae3d945546ac,0.04,0.9999999999999863,5.097810535859615e-21,368.5232162369066,362,444,517,3.6949963949778843e-31,1.3655743202889425e-14
0.12,1.0,8151ae3d945546ac,0.05,0.9999999999999803,5.4288866243889167e-17,430.1977419433048,416,535,644,9.199517099797376e-20,1.965094753586527e-14
0.12,1.0,8151ae3d945546ac,0.06,0.9999999999998181,1.5146921815261617e-13,516.6617916859198,498,662,827,4.560499932547944e-12,3.042011087472929e-14
0.12,1.0,8151ae3d945546ac,0.07,0.9999999998279471,1.7201747372877864e-10,646.6670432287041,626,863,1127,6.149062139804662e-07,3.5416114485542494e-14
0.12,1.0,8151ae3d945546ac,0.08,0.9999995670286246,4.32971411523716e-07,863.9699117287271,817,1218,1683,0.0011058183125424066,3.6193270602780103e-14
0.12,1.0,8151ae3d945546ac,0.09,0.9994112919137724,0.0005887080862627353,1268.0311563867792,1200,1993,2096,0.07881609486950605,3.5083047578154947e-14
0.12,1.0,8151ae3d945546ac,0.1,0.9503558028154893,0.04964419718456024,1801.9175586452009,2096,2096,2096,0.541180074791415,4.951594689828198e-14
0.12,1.0,8151ae3d945546ac,0.10875,0.6279656563792985,0.3720343436206729,1996.825687456145,2096,2096,2096,0.8382186267621102,2.864375403532904e-14
0.12,1.0,8151ae3d945546ac,0.11,0.5567678862790267,0.44323211372100085,1992.1083150874833,2096,2096,2096,0.8345758851882686,2.7533531010703882e-14
0.12,1.0,8151ae3d945546ac,0.12,0.09937300030149528,0.9006269996985088,1682.1414777662046,1951,2096,2096,0.4545663300555867,3.9968028886505635e-15
0.12,1.0,8151ae3d945546ac,0.13,0.004064876811766876,0.9959351231882336,1158.1939720114367,1076,1948,2096,0.07427588643617097,4.440892098500626e-16
0.12,1.0,8151ae3d945546ac,0.14,3.900610599828163e-05,0.9999609938940001,799.0676771700629,743,1229,1812,0.0031123317968514016,1.6653345369377348e-15
0.12,1.0,8151ae3d945546ac,0.15,9.966510247810835e-08,0.999999900334882,601.2793965794019,566,890,1262,3.3898439442267487e-05,1.554312234475219e-14
0.12,1.0,8151ae3d945546ac,0.16,1.1538872861406103e-10,0.9999999998845978,481.74615901556825,459,693,957,1.0377303187491885e-07,1.354472090042691e-14
