t_opt,N_max,first_accept_all_good,status,ASN_w[equal],U_w[equal],ASN_w[near_threshold],U_w[near_threshold],ASN_w[far_threshold],U_w[far_threshold]
25,50,27,SUCCESS_EXACT,43.130885676793206,0.7282583996646002,46.73323996781519,0.8686884967410079,38.951323335467215,0.5687837374165928
25,100,27,SUCCESS_EXACT,76.28802859142851,0.6153179278445315,88.61842251760167,0.8139639611817239,62.471649320013064,0.4007184284033237
25,200,27,SUCCESS_EXACT,133.21433496945136,0.5299691138442016,167.4678480604777,0.7650880401936371,96.35251550447408,0.288288540768408
50,200,32,SUCCESS_EXACT,135.51023799275706,0.5239158626503668,170.5322494157821,0.7669510054619189,98.02911305311409,0.27645012524268014
25,400,27,SUCCESS_EXACT,230.15285526630032,0.44946576320956527,313.90128165805197,0.7039930627830461,143.95376997476328,0.2022324266812177
50,400,32,SUCCESS_EXACT,231.0533458253005,0.4399318442186028,316.57435202000596,0.6974525249237342,143.7319223117599,0.19266682054803497
100,400,39,SUCCESS_EXACT,233.99342237970512,0.4338562848639173,320.24834317977206,0.6937176218154217,146.32512602942867,0.18642339138116745
100,800,39,SUCCESS_EXACT,387.49731726570104,0.34401084884187927,576.2235108694667,0.5939811878300499,206.22655326607122,0.12370557811968966
200,800,49,SUCCESS_EXACT,393.3277610424072,0.3384570869778877,582.5874965989328,0.5882186556022472,212.28294451330515,0.12009142330671832
100,1600,39,SUCCESS_EXACT,624.6612088343613,0.2596307907468778,1001.5052732689405,0.4805331121292034,284.7750796357627,0.08010222345827293
200,1600,49,SUCCESS_EXACT,624.7873132429132,0.25215523528690487,1000.3306439981191,0.4694816054900317,287.93212188052377,0.07685141960222146
400,1600,63,SUCCESS_EXACT,636.0902079817746,0.2473594399719632,1011.9113842891386,0.46288167492126603,299.8747812888794,0.07460855365822759
800,1600,84,SUCCESS_EXACT,661.3062772553068,0.24690427152894537,1038.9038593741363,0.4634703744248586,322.99387706243346,0.07398771761363059
200,3200,49,SUCCESS_EXACT,963.6881007735731,0.18310393204775063,1650.3722898419405,0.35907773609178906,384.81885379224815,0.04991335013887507
400,3200,63,SUCCESS_EXACT,966.9381747035455,0.1780307211852789,1649.0853600344426,0.3502482634572374,393.70845776196956,0.04826073919555537
800,3200,84,SUCCESS_EXACT,988.4418013774587,0.17481307781600858,1670.801389029022,0.344811466692115,415.23802764222836,0.04717929673570832
1600,3200,114,SUCCESS_EXACT,1035.5164520675278,0.17459872281721636,1724.7974133712555,0.34494755339401156,454.4163958758483,0.046990274423514805
