t_opt,N_max,first_accept_all_good,status,runtime_ms,ASN_w[equal],ASN_w[near_threshold],ASN_w[far_threshold],U_w[equal],U_w[near_threshold],U_w[far_threshold]
25,50,49.0,SUCCESS_EXACT,5.3,48.45235405263695,49.700218866510255,46.82610097737545,0.8454668321432466,0.9576380253508425,0.7127523506654168
25,100,49.0,SUCCESS_EXACT,9.8,87.40964154217485,96.39488507861707,76.92035605580409,0.720441865637133,0.9107070301539721,0.5083133657723719
25,200,49.0,SUCCESS_EXACT,21.2,151.4216039345225,183.36754614196664,116.43674263373644,0.5884826579935258,0.8402121179362882,0.3270484161379682
25,400,49.0,SUCCESS_EXACT,42.8,257.55550119152736,342.95604176097385,168.98302666674107,0.48669183494276774,0.7619320220427767,0.21879537534709673
25,800,49.0,SUCCESS_EXACT,94.3,430.76451622132794,626.4652585242235,239.30779077685455,0.3906717634592208,0.6631959556849139,0.14553750338122895
25,1600,49.0,SUCCESS_EXACT,193.8,700.7957522354469,1103.8321532123946,331.4320881018106,0.2965784115007318,0.542145790158565,0.09389230232878892
25,3200,49.0,SUCCESS_EXACT,410.3,1100.971728322427,1860.5082037837763,449.19872198460416,0.21634294168220258,0.4198054486634689,0.060140857286735766
50,50,,SUCCESS_EXACT,5.1,49.048594831671736,49.848729531491465,47.97720439753829,0.935559245060721,0.9890316116183382,0.8650351840412516
50,100,62.0,SUCCESS_EXACT,10.4,90.93791853980626,97.85277160198177,82.61522484639977,0.7492034442677048,0.9301809044486653,0.5443820457125839
50,200,62.0,SUCCESS_EXACT,20.3,157.6124047146183,187.00012798476683,125.06916106375066,0.6045033661105477,0.8576420464947515,0.3402796780375479
50,400,62.0,SUCCESS_EXACT,42.9,265.6484305268133,349.13529264747297,178.79193957212001,0.49174735540381675,0.7705780375610818,0.2205587033304899
50,800,62.0,SUCCESS_EXACT,90.4,438.75917024839936,633.4570187166726,248.56206716383022,0.38693523278044445,0.6601576113512467,0.14263616781585126
50,1600,62.0,SUCCESS_EXACT,189.3,704.2738622363605,1105.3189596293446,338.16495267306357,0.2897836223418099,0.5326389937453829,0.09070042063096483
50,3200,62.0,SUCCESS_EXACT,412.0,1093.6603787496124,1844.9989236470633,451.6815756656325,0.21012947675953614,0.40922644445360346,0.05801273790462518
100,100,81.0,SUCCESS_EXACT,10.9,94.7019735492473,99.0151953144965,89.2094242773263,0.814373559962082,0.9576192180193506,0.6448960887107897
100,200,81.0,SUCCESS_EXACT,21.7,166.02751472092174,190.98499442295406,137.75509716893222,0.6404121563899667,0.8867694471695551,0.37904425776402567
100,400,81.0,SUCCESS_EXACT,43.3,278.62026157594033,357.90182521860555,195.2645044692247,0.5066832339080795,0.7896994780014526,0.22979411454131726
100,800,81.0,SUCCESS_EXACT,92.9,455.1256703797337,647.2704454425757,266.67605529370525,0.39073854398884494,0.6672548979829525,0.14371649723533456
100,1600,81.0,SUCCESS_EXACT,188.3,720.0554095610515,1119.350639285768,355.5879992286624,0.28658079855508634,0.5287038516810476,0.08900505995270397
100,3200,81.0,SUCCESS_EXACT,406.8,1102.4829472782233,1848.3412250354604,466.2907075986813,0.20530169915023175,0.4010565435538172,0.056352630275078724
200,200,107.0,SUCCESS_EXACT,20.4,175.94657945260673,194.60632202162515,153.9576553222703,0.6909566447996929,0.9175233559734559,0.44354850190793416
200,400,107.0,SUCCESS_EXACT,45.2,296.52967678998044,368.3694854736756,219.4647835377776,0.5377914996142957,0.8234594130027639,0.2534266706669485
200,800,107.0,SUCCESS_EXACT,96.2,481.48571267799866,668.5297970403847,295.947251763859,0.40457506770154167,0.6874596794389377,0.15028630419198147
200,1600,107.0,SUCCESS_EXACT,191.7,751.8816241826573,1149.5942251656102,386.99018663018654,0.2885358642919971,0.5329002450610221,0.08939195865639274
200,3200,107.0,SUCCESS_EXACT,413.9,1133.0977061757885,1877.5387794219896,496.9549995008005,0.20300686102111623,0.3973843596078345,0.05550923766801566
400,400,145.0,SUCCESS_EXACT,45.6,318.81950470140225,378.83333801389995,252.35093291800217,0.5868994249162973,0.8672064484503195,0.29906395030366556
400,800,145.0,SUCCESS_EXACT,94.4,519.0991150666532,696.3799217579287,339.5014837802155,0.4333806059866496,0.7259192399474612,0.16572763537155874
400,1600,145.0,SUCCESS_EXACT,194.9,804.5521669883551,1199.8451654482903,437.3650515623418,0.30020678166514714,0.5521598108518357,0.0937896806979225
400,3200,145.0,SUCCESS_EXACT,408.0,1193.9849091260908,1942.5987189206087,549.9722099578339,0.2045726932931035,0.4006633058696262,0.055873904923834775
800,800,198.0,SUCCESS_EXACT,89.9,566.8072104814123,726.7771678934553,399.4033887690133,0.48381446079349416,0.7861545459733172,0.19696828520184523
800,1600,198.0,SUCCESS_EXACT,192.6,881.6108138184889,1270.9189737862696,511.95378985507705,0.32542492933337364,0.5914293827766274,0.10418929710997984
800,3200,198.0,SUCCESS_EXACT,410.6,1294.667726612739,2053.788774283383,632.9485070544439,0.21285781871204665,0.41595369416147054,0.0583638369175229
1600,1600,273.0,SUCCESS_EXACT,194.2,982.3299765580549,1355.6265737564815,615.8252237948694,0.37175547131289854,0.6586182327645328,0.12538995151393942
1600,3200,273.0,SUCCESS_EXACT,423.4,1442.888972623177,2215.4200720485364,755.0644087348838,0.23133761033262237,0.44892699937099656,0.0642574706771359
