p0,p1,kappa,status,family,plan_hash,n_fixed,c_fixed,N_max,c_N,h_accept,h_reject,producer_risk,consumer_risk,J_ASN_grid,p_worst_grid,endpoint_max_ASN,endpoint_mean_ASN,ASN_saving_vs_fixed,candidate_count
0.1,0.12,1.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,8151ae3d945546ac,2096,232,2096,232,-5.251291798606495,4.8903717578961645,0.04964419718456025,0.09937300030149528,1996.825687456145,0.10875,1801.9175586452009,1742.0295182057027,0.04731598880909116,5
0.1,0.12,1.25,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,55c9f5980dfe3888,2096,232,2227,247,-3.251291798606495,3.3903717578961645,0.04938389352997641,0.09991120704973844,1705.4091983778228,0.10973373522110165,1333.528193131705,1327.4131537427825,0.1863505732930235,42
0.1,0.12,1.5,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,33c83aa82c39003f,2096,232,2672,300,-3.251291798606495,2.8903717578961645,0.049340843108240995,0.09582322844645305,1758.2846009636444,0.10875,1371.6912586471938,1291.8568212101013,0.16112375908223076,66
0.1,0.12,2.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,c270fb91ae7ce470,2096,232,4192,457,-2.251291798606495,2.8903717578961645,0.049899315825643616,0.09958586678896061,1563.8453626693797,0.11075,1152.6904372958716,1079.8075486472264,0.25389057124552494,93
0.1,0.13,1.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,097cee36c394fece,968,112,968,112,-5.251291798606495,4.8903717578961645,0.04891319629510894,0.09959663865398771,923.1034983747957,0.112375,838.6178931022558,805.5137360005792,0.046380683497111885,5
0.1,0.13,1.25,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,f27ea777a45036a4,968,112,1210,143,-3.251291798606495,2.8903717578961645,0.04796924555133304,0.09919961721604946,808.8416351444886,0.11275,638.8515091878983,597.3429440618181,0.16441979840445398,40
0.1,0.13,1.5,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,c6a4217abe4546eb,968,112,1452,162,-2.251291798606495,3.3903717578961645,0.049761876657716045,0.09936339686858228,767.8208214925991,0.11725000000000001,608.0368289182417,544.0798672522278,0.20679667201177787,67
0.1,0.13,2.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,40aad3a8774f96b2,968,112,1936,219,-2.251291798606495,2.8903717578961645,0.04886085756146269,0.09904259043552946,727.8769284872291,0.11575,531.4709860508673,501.7699898818988,0.2480610242900526,99
0.1,0.15,1.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,3e359284ef38a9b0,368,46,368,46,-5.251291798606495,4.8903717578961645,0.04985401335045734,0.09980946163074446,352.21974724150255,0.11937500000000001,324.8043974600879,308.7569461425562,0.042881121626351826,5
0.1,0.15,1.25,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,1b031a96469e7f30,368,46,391,49,-3.251291798606495,3.3903717578961645,0.049690252909244836,0.0980405936801372,303.9795726251901,0.1225,244.41079883373868,238.0002789401409,0.17396855264893996,40
0.1,0.15,1.5,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,15e756fae026a614,368,46,552,66,-2.251291798606495,3.3903717578961645,0.046481488270072695,0.09985577684923277,297.02469857180307,0.1275,232.84486672130757,211.14247578539994,0.19286766692444812,57
0.1,0.15,2.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,2a9e74898f3fa159,368,46,626,76,-2.251291798606495,2.8903717578961645,0.049945908267329114,0.09944689320235661,275.33307891931634,0.125625,202.85431745200606,194.20883951603383,0.2518122855453361,102
0.1,0.2,1.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,4edf1bfab3f11d6e,109,16,109,16,-4.251291798606495,3.3903717578961645,0.04905789138149562,0.09606911768155438,94.9442920820684,0.13,86.82035582767296,76.49585277903341,0.1289514487883633,16
0.1,0.2,1.25,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,be034fdeb3dceaca,109,16,116,17,-3.251291798606495,3.3903717578961645,0.04569206260220523,0.09275877985887399,90.37844752782281,0.14125000000000001,74.21697306618145,70.40606943690582,0.17083993093740535,58
0.1,0.2,1.5,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,2cfcce58ef808afd,109,16,163,22,-2.251291798606495,3.3903717578961645,0.044437797261653485,0.09755242344428332,87.48311595815217,0.1525,66.66933939762566,61.93173156901854,0.19740260588851222,72
0.1,0.2,2.0,SUCCESS_LOCAL_CALIBRATION,calibrated-truncated-sprt,54a86236f097b65a,109,16,185,25,-2.251291798606495,2.8903717578961645,0.049032392635375774,0.09612673475167334,81.65810438764845,0.14750000000000002,58.45320281975875,57.31813403516072,0.25084307901239955,114
