case,parameter,value,range_basis,best_policies,best_profit,policy_changed
1,test1,1,Table 1 observed values,1101,18.77777777777778,False
2,test1,1,Table 1 observed values,1101,12.25,False
3,test1,1,Table 1 observed values,1101;1111,16.111111111111114,False
4,test1,1,Table 1 observed values,1111,14.25,False
5,test1,1,Table 1 observed values,1101,18.138888888888886,True
6,test1,1,Table 1 observed values,1000,22.495115906108758,True
1,test1,2,Table 1 observed values,1101,17.555555555555557,False
2,test1,2,Table 1 observed values,1101,10.75,False
3,test1,2,Table 1 observed values,1101;1111,14.888888888888893,False
4,test1,2,Table 1 observed values,1111,12.75,False
5,test1,2,Table 1 observed values,1101,16.916666666666664,True
6,test1,2,Table 1 observed values,0000,21.6786703601108,False
1,test1,8,Table 1 observed values,0000,15.36076817558299,True
2,test1,8,Table 1 observed values,1101,1.75,False
3,test1,8,Table 1 observed values,0010,13.475994513031551,True
4,test1,8,Table 1 observed values,1111,3.75,False
5,test1,8,Table 1 observed values,0100,11.987654320987652,False
6,test1,8,Table 1 observed values,0000,21.6786703601108,False
1,test2,1,Table 1 observed values,1101,20.0,False
2,test2,1,Table 1 observed values,1101,13.75,False
3,test2,1,Table 1 observed values,1101;1111,17.333333333333336,False
4,test2,1,Table 1 observed values,1111,14.25,False
5,test2,1,Table 1 observed values,0100,11.987654320987652,False
6,test2,1,Table 1 observed values,0000;0100,21.6786703601108,True
1,test2,3,Table 1 observed values,1101,17.555555555555557,False
2,test2,3,Table 1 observed values,1101,10.75,False
3,test2,3,Table 1 observed values,1101;1111,14.888888888888893,False
4,test2,3,Table 1 observed values,1111,11.25,False
5,test2,3,Table 1 observed values,0010,9.703703703703702,True
6,test2,3,Table 1 observed values,0000,21.6786703601108,False
1,replacement,6,Table 1 observed values,1101,17.555555555555557,False
2,replacement,6,Table 1 observed values,1101,10.75,False
3,replacement,6,Table 1 observed values,1101,17.555555555555557,True
4,replacement,6,Table 1 observed values,1101,15.25,True
5,replacement,6,Table 1 observed values,0100,12.925925925925924,False
6,replacement,6,Table 1 observed values,0000,22.34407348009914,False
1,replacement,10,Table 1 observed values,1101,17.111111111111114,False
2,replacement,10,Table 1 observed values,1101,9.75,False
3,replacement,10,Table 1 observed values,1101,17.111111111111114,True
4,replacement,10,Table 1 observed values,1101;1111,14.25,True
5,replacement,10,Table 1 observed values,0100,11.987654320987652,False
6,replacement,10,Table 1 observed values,0000,21.6786703601108,False
1,replacement,30,Table 1 observed values,1101;1111,14.888888888888893,True
2,replacement,30,Table 1 observed values,1111,8.5,True
3,replacement,30,Table 1 observed values,1101;1111,14.888888888888893,False
4,replacement,30,Table 1 observed values,1111,14.25,False
5,replacement,30,Table 1 observed values,0110,11.864197530864196,True
6,replacement,30,Table 1 observed values,0010,19.843125820090393,True
1,disassembly,5,Table 1 observed values,1101,17.555555555555557,False
2,disassembly,5,Table 1 observed values,1101,10.75,False
3,disassembly,5,Table 1 observed values,1101;1111,14.888888888888893,False
4,disassembly,5,Table 1 observed values,1111,14.25,False
5,disassembly,5,Table 1 observed values,0100,11.987654320987652,False
6,disassembly,5,Table 1 observed values,0000,21.6786703601108,False
1,disassembly,40,Table 1 observed values,1000,16.73251028806584,True
2,disassembly,40,Table 1 observed values,1100,4.8125,True
3,disassembly,40,Table 1 observed values,1010,14.436213991769549,True
4,disassembly,40,Table 1 observed values,1110,8.5,True
5,disassembly,40,Table 1 observed values,0100,11.987654320987652,False
6,disassembly,40,Table 1 observed values,0000,21.6786703601108,False
