case,policy,source_state,target_type,target_state,probability
1,0000,0,transient,1,0.81
1,0000,0,transient,2,0.09000000000000001
1,0000,0,transient,3,0.09000000000000001
1,0000,0,transient,4,0.010000000000000002
1,0000,1,transient,5,1.0
1,0000,2,transient,6,1.0
1,0000,3,transient,7,1.0
1,0000,4,transient,8,1.0
1,0000,5,transient,9,1.0
1,0000,6,transient,10,1.0
1,0000,7,transient,11,1.0
1,0000,8,transient,12,1.0
1,0000,9,transient,13,0.09999999999999998
1,0000,10,transient,14,1.0
1,0000,11,transient,15,1.0
1,0000,12,transient,16,1.0
1,0000,13,transient,0,1.0
1,0000,14,transient,0,1.0
1,0000,15,transient,0,1.0
1,0000,16,transient,0,1.0
1,0000,9,success,,0.9
1,0001,0,transient,1,0.81
1,0001,0,transient,2,0.09000000000000001
1,0001,0,transient,3,0.09000000000000001
1,0001,0,transient,4,0.010000000000000002
1,0001,1,transient,5,1.0
1,0001,2,transient,6,1.0
1,0001,3,transient,7,1.0
1,0001,4,transient,8,1.0
1,0001,5,transient,9,1.0
1,0001,6,transient,10,1.0
1,0001,7,transient,11,1.0
1,0001,8,transient,12,1.0
1,0001,9,transient,13,0.09999999999999998
1,0001,10,transient,14,1.0
1,0001,11,transient,15,1.0
1,0001,12,transient,16,1.0
1,0001,13,transient,17,1.0
1,0001,14,transient,18,1.0
1,0001,15,transient,19,1.0
1,0001,16,transient,20,1.0
1,0001,17,transient,21,1.0
1,0001,18,transient,22,1.0
1,0001,19,transient,23,1.0
1,0001,20,transient,24,1.0
1,0001,21,transient,25,1.0
1,0001,22,transient,26,1.0
1,0001,23,transient,27,1.0
1,0001,24,transient,28,1.0
1,0001,25,transient,29,0.09999999999999998
1,0001,26,transient,30,1.0
1,0001,27,transient,31,1.0
1,0001,28,transient,32,1.0
1,0001,29,transient,17,1.0
1,0001,30,transient,18,1.0
1,0001,31,transient,19,1.0
1,0001,32,transient,20,1.0
1,0001,9,success,,0.9
1,0001,25,success,,0.9
1,0010,0,transient,1,0.81
1,0010,0,transient,2,0.09000000000000001
1,0010,0,transient,3,0.09000000000000001
1,0010,0,transient,4,0.010000000000000002
1,0010,1,transient,5,1.0
1,0010,2,transient,6,1.0
1,0010,3,transient,7,1.0
1,0010,4,transient,8,1.0
1,0010,5,transient,9,1.0
1,0010,6,transient,10,1.0
1,0010,7,transient,11,1.0
1,0010,8,transient,12,1.0
1,0010,9,transient,13,0.09999999999999998
1,0010,10,transient,14,1.0
1,0010,11,transient,15,1.0
1,0010,12,transient,16,1.0
1,0010,13,transient,0,1.0
1,0010,14,transient,0,1.0
1,0010,15,transient,0,1.0
