strategy_id,strategy_bits,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,yf,z1,z2,z3,zf,status,local_loop_equations,max_local_loop_probability,max_local_equation_residual,cost_purchase,cost_part_inspection,cost_semi_inspection,cost_final_inspection,cost_semi_assembly,cost_final_assembly,cost_semi_disassembly,cost_final_disassembly,cost_replacement_loss,expected_part_inspections,expected_semi_inspections,expected_final_inspections,expected_semi_assemblies,expected_final_assemblies,expected_semi_disassemblies,expected_final_disassemblies,expected_replacements,expected_part_inspections_1,expected_part_inspections_2,expected_part_inspections_3,expected_part_inspections_4,expected_part_inspections_5,expected_part_inspections_6,expected_part_inspections_7,expected_part_inspections_8,expected_total_cost,expected_profit,one_pass_success_no_inspection,factory_defect_rate
0,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.7175704635189999,2.724047755051504e-17,226.6051943342175,0.0,0.0,0.0,84.97694787533156,28.325649291777186,0.0,0.0,101.62824645888593,0.0,0.0,0.0,10.622118484416445,3.5407061614721482,0.0,0.0,2.5407061614721482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.5360379602122,-241.53603796021218,0.2824295364810001,0.7175704635189999
1,1000000000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6861894039099998,1.8576148067437958e-17,204.65281613309017,3.5407061614721482,0.0,0.0,76.4792530877984,25.493084362599465,0.0,0.0,87.46542181299732,3.5407061614721482,0.0,0.0,9.5599066359748,3.186635545324933,0.0,0.0,2.186635545324933,3.5407061614721482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.6312815579575,-197.6312815579575,0.2824295364810001,0.6861894039099998
2,0100000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6861894039099998,1.7309852725906767e-16,206.77723982997344,3.5407061614721482,0.0,0.0,76.4792530877984,25.493084362599465,0.0,0.0,87.46542181299732,3.5407061614721482,0.0,0.0,9.5599066359748,3.186635545324933,0.0,0.0,2.186635545324933,0.0,3.5407061614721482,0.0,0.0,0.0,0.0,0.0,0.0,399.75570525484073,-199.75570525484073,0.2824295364810001,0.6861894039099998
3,1100000000000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6513215598999998,7.723290606088045e-17,186.7368429560411,6.691934645182362,0.0,0.0,68.83132777901855,22.94377592633952,0.0,0.0,74.7188796316976,6.691934645182362,0.0,0.0,8.603915972377319,2.86797199079244,0.0,0.0,1.86797199079244,3.5052990998574267,3.1866355453249335,0.0,0.0,0.0,0.0,0.0,0.0,359.9227609382791,-159.9227609382791,0.2824295364810001,0.6513215598999998
4,0010000000000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6861894039099998,2.5170452142317695e-17,208.1935222945623,7.0814123229442965,0.0,0.0,76.4792530877984,25.493084362599465,0.0,0.0,87.46542181299732,3.5407061614721482,0.0,0.0,9.5599066359748,3.186635545324933,0.0,0.0,2.186635545324933,0.0,0.0,3.5407061614721482,0.0,0.0,0.0,0.0,0.0,404.7126938809018,-204.71269388090178,0.2824295364810001,0.6861894039099998
5,1010000000000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6513215598999998,7.723290606088045e-17,188.01149717417107,9.878570190507295,0.0,0.0,68.83132777901855,22.94377592633952,0.0,0.0,74.7188796316976,6.691934645182362,0.0,0.0,8.603915972377319,2.86797199079244,0.0,0.0,1.86797199079244,3.5052990998574267,0.0,3.1866355453249335,0.0,0.0,0.0,0.0,0.0,364.38405070173405,-164.38405070173405,0.2824295364810001,0.6513215598999998
6,0110000000000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6513215598999998,7.723290606088045e-17,189.92347850136605,9.878570190507295,0.0,0.0,68.83132777901855,22.94377592633952,0.0,0.0,74.7188796316976,6.691934645182362,0.0,0.0,8.603915972377319,2.86797199079244,0.0,0.0,1.86797199079244,0.0,3.5052990998574267,3.1866355453249335,0.0,0.0,0.0,0.0,0.0,366.29603202892906,-166.29603202892906,0.2824295364810001,0.6513215598999998
7,1110000000000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6125795109999997,1.7671503183206688e-16,171.50472504938787,12.33227956040749,0.0,0.0,61.94819500111669,20.649398333705562,0.0,0.0,63.24699166852782,9.464307569615052,0.0,0.0,7.743524375139586,2.5811747917131953,0.0,0.0,1.5811747917131953,3.4415663889509274,3.154769189871683,2.8679719907924395,0.0,0.0,0.0,0.0,0.0,329.68158961314543,-129.68158961314543,0.2824295364810001,0.6125795109999997
8,0001000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6861894039099998,1.8576148067437958e-17,204.65281613309017,3.5407061614721482,0.0,0.0,76.4792530877984,25.493084362599465,0.0,0.0,87.46542181299732,3.5407061614721482,0.0,0.0,9.5599066359748,3.186635545324933,0.0,0.0,2.186635545324933,0.0,0.0,0.0,3.5407061614721482,0.0,0.0,0.0,0.0,397.6312815579575,-197.6312815579575,0.2824295364810001,0.6861894039099998
9,1001000000000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SUCCESS_EXACT,4.0,0.6513215598999998,2.9646509223333434e-17,184.82486162884612,6.373271090649867,0.0,0.0,68.83132777901855,22.94377592633952,0.0,0.0,74.7188796316976,6.373271090649867,0.0,0.0,8.603915972377319,2.86797199079244,0.0,0.0,1.86797199079244,3.1866355453249335,0.0,0.0,3.1866355453249335,0.0,0.0,0.0,0.0,357.69211605655164,-157.69211605655164,0.2824295364810001,0.6513215598999998
