node,max_abs_residual_all_feasible,best_policy_residual
part_1,6.661338147750939e-16,2.7755575615628914e-17
part_2,6.661338147750939e-16,2.7755575615628914e-17
part_3,6.661338147750939e-16,2.7755575615628914e-17
part_4,6.661338147750939e-16,2.7755575615628914e-17
part_5,6.661338147750939e-16,2.7755575615628914e-17
part_6,6.661338147750939e-16,2.7755575615628914e-17
part_7,5.551115123125783e-16,2.7755575615628914e-17
part_8,5.551115123125783e-16,2.7755575615628914e-17
semi_1,3.608224830031759e-16,4.163336342344337e-17
semi_2,3.608224830031759e-16,4.163336342344337e-17
semi_3,3.885780586188048e-16,4.163336342344337e-17
final,2.220446049250313e-16,0.0
