case,x1,x2,y,z,n_states,row_sum_error,status,condition_number,linear_residual,cost_purchase_1,cost_purchase_2,cost_inspection_1,cost_inspection_2,cost_assembly,cost_product_inspection,cost_disassembly,cost_replacement_loss,expected_inspections_1,expected_inspections_2,expected_product_inspections,expected_assemblies,expected_disassemblies,expected_replacements,expected_total_cost,expected_profit,success_probability,factory_defect_rate,exchange_rate,domain,nominal_profit,uniform_posterior_mean_profit,jeffreys_posterior_mean_profit,strategy_bits,strategy_code,robust_status_90,worst_profit_90,robust_status_95,worst_profit_95,coverage
1,1,1,0,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.0426255384012064e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,0.0,0.5555555555555554,0.6666666666666665,1.3333333333333335,1.2222222222222223,0.0,1.1111111111111112,0.11111111111111109,0.11111111111111109,38.666666666666664,17.333333333333336,1.0,0.09999999999999998,0.11111111111111109,q2,17.333333333333336,16.778135291252585,17.034033533103873,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,11.570461923507118,ROBUST_CERTIFIED_BY_MONOTONICITY,10.710134787589205,90
1,1,1,0,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.0426255384012064e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,0.0,0.5555555555555554,0.6666666666666665,1.3333333333333335,1.2222222222222223,0.0,1.1111111111111112,0.11111111111111109,0.11111111111111109,38.666666666666664,17.333333333333336,1.0,0.09999999999999998,0.11111111111111109,q2,17.333333333333336,16.778135291252585,17.034033533103873,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,11.570461923507118,ROBUST_CERTIFIED_BY_MONOTONICITY,10.710134787589205,95
2,1,1,0,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,7.894601352940223e-18,5.0,22.5,3.500000000000001,4.500000000000001,7.500000000000001,0.0,1.25,1.4999999999999998,1.7500000000000004,1.5000000000000004,0.0,1.2500000000000002,0.25,0.25,45.75,10.25,1.0000000000000002,0.2,0.25,q2,10.25,9.587802160990968,9.84497642543174,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,1.167218476360297,ROBUST_CERTIFIED_BY_MONOTONICITY,-0.17662045778826752,90
2,1,1,0,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,7.894601352940223e-18,5.0,22.5,3.500000000000001,4.500000000000001,7.500000000000001,0.0,1.25,1.4999999999999998,1.7500000000000004,1.5000000000000004,0.0,1.2500000000000002,0.25,0.25,45.75,10.25,1.0000000000000002,0.2,0.25,q2,10.25,9.587802160990968,9.84497642543174,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,1.167218476360297,ROBUST_CERTIFIED_BY_MONOTONICITY,-0.17662045778826752,95
3,1,1,1,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.3018901917428544e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,3.333333333333333,0.5555555555555554,0.0,1.3333333333333335,1.2222222222222223,1.1111111111111112,1.1111111111111112,0.11111111111111109,0.0,41.333333333333336,14.666666666666664,1.0,0.0,0.0,q2,14.666666666666664,14.144182195775583,14.38551538794752,1111,q2:1111,ROBUST_CERTIFIED_BY_MONOTONICITY,9.242787692712582,ROBUST_CERTIFIED_BY_MONOTONICITY,8.43306803537807,90
3,1,1,1,1,12,0.0,SUCCESS_EXACT,16.39347863746666,1.3018901917428544e-17,4.444444444444445,20.0,2.666666666666667,3.6666666666666665,6.666666666666666,3.333333333333333,0.5555555555555554,0.0,1.3333333333333335,1.2222222222222223,1.1111111111111112,1.1111111111111112,0.11111111111111109,0.0,41.333333333333336,14.666666666666664,1.0,0.0,0.0,q2,14.666666666666664,14.144182195775583,14.38551538794752,1111,q2:1111,ROBUST_CERTIFIED_BY_MONOTONICITY,9.242787692712582,ROBUST_CERTIFIED_BY_MONOTONICITY,8.43306803537807,95
4,1,1,1,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,8.74142929758131e-18,5.0,22.5,1.7500000000000004,1.5000000000000004,7.500000000000001,2.5000000000000004,1.25,0.0,1.7500000000000004,1.5000000000000004,1.2500000000000002,1.2500000000000002,0.25,0.0,42.0,14.0,1.0000000000000002,0.0,0.0,q2,14.0,13.482852597287,13.684438927717123,1111,q2:1111,ROBUST_CERTIFIED_BY_MONOTONICITY,6.876249785380622,ROBUST_CERTIFIED_BY_MONOTONICITY,5.822258464479788,90
4,1,1,1,1,12,2.220446049250313e-16,SUCCESS_EXACT,17.889434494195793,8.74142929758131e-18,5.0,22.5,1.7500000000000004,1.5000000000000004,7.500000000000001,2.5000000000000004,1.25,0.0,1.7500000000000004,1.5000000000000004,1.2500000000000002,1.2500000000000002,0.25,0.0,42.0,14.0,1.0000000000000002,0.0,0.0,q2,14.0,13.482852597287,13.684438927717123,1111,q2:1111,ROBUST_CERTIFIED_BY_MONOTONICITY,6.876249785380622,ROBUST_CERTIFIED_BY_MONOTONICITY,5.822258464479788,95
5,1,1,0,1,12,0.0,SUCCESS_EXACT,16.498951042222657,2.042700983731507e-17,4.444444444444445,22.5,11.777777777777779,1.3611111111111112,6.666666666666667,0.0,0.5555555555555555,1.1111111111111112,1.4722222222222223,1.3611111111111112,0.0,1.1111111111111114,0.1111111111111111,0.1111111111111111,48.416666666666664,7.583333333333336,1.0,0.09999999999999999,0.1111111111111111,q2,7.583333333333336,6.7853176917428994,7.107364722190765,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,-1.971092163744565,ROBUST_CERTIFIED_BY_MONOTONICITY,-3.3910410055203357,90
5,1,1,0,1,12,0.0,SUCCESS_EXACT,16.498951042222657,2.042700983731507e-17,4.444444444444445,22.5,11.777777777777779,1.3611111111111112,6.666666666666667,0.0,0.5555555555555555,1.1111111111111112,1.4722222222222223,1.3611111111111112,0.0,1.1111111111111114,0.1111111111111111,0.1111111111111111,48.416666666666664,7.583333333333336,1.0,0.09999999999999999,0.1111111111111111,q2,7.583333333333336,6.7853176917428994,7.107364722190765,1101,q2:1101,ROBUST_CERTIFIED_BY_MONOTONICITY,-1.971092163744565,ROBUST_CERTIFIED_BY_MONOTONICITY,-3.3910410055203357,95
6,1,0,0,0,13,1.1102230246251565e-16,SUCCESS_EXACT,16.481003766732023,3.5226301173337057e-17,4.665403119988337,19.944598337950143,2.3327015599941685,0.0,6.648199445983379,0.0,0.0,1.0803324099722997,1.1663507799970843,0.0,0.0,1.10803324099723,0.0,0.10803324099722997,34.67123487388833,21.32876512611167,1.0,0.09750000000000004,0.10803324099722997,q2,21.32876512611167,20.34433975671847,20.81800423251982,1000,q2:1000,ROBUST_CERTIFIED_BY_MONOTONICITY,13.457327920462298,ROBUST_CERTIFIED_BY_MONOTONICITY,12.191646170661713,90
