case,prior,status,optimality_label,horizon,initial_action,stop_value,policy_value,NVSI,EVPI,expected_additional_samples,expected_additional_sampling_cost,past_sampling_cost,net_value_after_past_sampling,P50_samples,P90_samples,P99_samples,terminal_policy,terminal_value_status,terminal_integration_order,terminal_integration_error,posterior_optimal_probability,posterior_mean_regret,negative_profit_probability,posterior_profit_p05,posterior_profit_p50,posterior_profit_p95,state_count,bellman_residual,initial_action_values,expected_allocation,terminal_policy_probabilities
1,uniform,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,17.011111111111095,17.011111111111095,0.0,0.0443859029670719,0.0,0.0,3600.0,-3582.988888888889,0,0,0,1101,VALUE_INTEGRATION_CONVERGED,12,1.7763568394002505e-14,0.8762734303712744,0.044385902967063136,8.32627938977687e-15,14.930980730815177,17.126229352531286,18.836270598943084,210,0.0,"{""STOP"": 17.011111111111095, ""p1"": 15.011111111111099, ""p2"": 14.011111111111104, ""pf"": -13.988888888888892}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1101"": 1.0}"
1,jeffreys,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,17.25139664804468,17.25139664804468,0.0,0.06746520449046045,0.0,0.0,3600.0,-3582.7486033519554,0,0,0,1101,VALUE_INTEGRATION_CONVERGED,12,1.4210854715202004e-14,0.8503246649888465,0.06746520449045419,4.734611673300181e-15,15.15499651188985,17.337446563407894,18.98307330722388,210,0.0,"{""STOP"": 17.25139664804468, ""p1"": 15.251396648044699, ""p2"": 14.251396648044693, ""pf"": -13.748603351955312}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1101"": 1.0}"
2,uniform,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,10.137499999999989,10.137499999999989,0.0,8.850609134469778e-10,0.0,0.0,3600.0,-3589.8625,0,0,0,1101,VALUE_INTEGRATION_CONVERGED,12,7.105427357601002e-14,0.9999999967094253,8.85059154777156e-10,3.8656638534284655e-05,6.518750265327229,10.25646184796806,13.141582005073829,210,0.0,"{""STOP"": 10.137499999999989, ""p1"": 8.137499999999992, ""p2"": 7.137499999999999, ""pf"": -20.862500000000004}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1101"": 1.0}"
2,jeffreys,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,10.364779874213845,10.364779874213845,0.0,1.3741221494001365e-09,0.0,0.0,3600.0,-3589.635220125786,0,0,0,1101,VALUE_INTEGRATION_CONVERGED,12,3.730349362740526e-14,0.9999999961024459,1.3741267557584667e-09,2.6561285136087998e-05,6.828550825641842,10.472685234437902,13.415704733397574,210,0.0,"{""STOP"": 10.364779874213845, ""p1"": 8.364779874213843, ""p2"": 7.364779874213835, ""pf"": -20.635220125786155}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1101"": 1.0}"
3,uniform,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,14.377777777777773,14.377777777777773,0.0,0.2994029517563668,0.0,0.0,3600.0,-3585.6222222222223,0,0,0,1111,VALUE_INTEGRATION_CONVERGED,12,1.687538997430238e-14,0.5486275603692732,0.2994029517563652,3.149559651986805e-13,12.42080707493299,14.45897581012224,16.10337229623244,210,0.0,"{""STOP"": 14.377777777777773, ""p1"": 12.377777777777776, ""p2"": 11.377777777777759, ""pf"": -16.622222222222227}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1111"": 1.0}"
3,jeffreys,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,14.603351955307254,14.603351955307254,0.0,0.3601686152427206,0.0,0.0,3600.0,-3585.396648044693,0,0,0,1111,VALUE_INTEGRATION_CONVERGED,12,2.842170943040401e-14,0.49165941948279657,0.36016861524271443,1.3880307572057795e-13,12.608118178791122,14.69815392333883,16.235544748692767,210,0.0,"{""STOP"": 14.603351955307254, ""p1"": 12.603351955307263, ""p2"": 11.603351955307268, ""pf"": -16.396648044692736}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1111"": 1.0}"
4,uniform,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,13.762499999999985,13.762499999999985,0.0,5.329070518200751e-15,0.0,0.0,3200.0,-3186.2375,0,0,0,1111,VALUE_INTEGRATION_CONVERGED,12,8.171241461241152e-14,0.9999999999999996,0.0,4.385159436293483e-09,10.887008429522519,13.86011245717481,16.135250455900444,210,0.0,"{""STOP"": 13.762499999999985, ""p1"": 12.762500000000003, ""p2"": 12.762499999999976, ""pf"": -16.237500000000004}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1111"": 1.0}"
4,jeffreys,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,13.943396226415093,13.943396226415093,0.0,3.552713678800501e-15,0.0,0.0,3200.0,-3186.056603773585,0,0,0,1111,VALUE_INTEGRATION_CONVERGED,12,9.592326932761353e-14,1.0,0.0,3.4125367142471534e-09,11.049275600910542,14.065544647203044,16.33096369117551,210,0.0,"{""STOP"": 13.943396226415093, ""p1"": 12.943396226415091, ""p2"": 12.943396226415091, ""pf"": -16.056603773584904}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""1111"": 1.0}"
5,uniform,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,10.67796450617283,10.67796450617283,0.0,0.22965129265708306,0.0,0.0,3900.0,-3889.322035493827,0,0,0,0110,VALUE_INTEGRATION_CONVERGED,12,3.730349362740526e-14,0.38954185301543753,0.2296512926570811,0.0007707240130482428,6.038821073482181,10.84176412236353,14.386999641968247,210,0.0,"{""STOP"": 10.67796450617283, ""p1"": 2.677964506172838, ""p2"": 9.67796450617283, ""pf"": -19.322035493827155}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""0110"": 1.0}"
5,jeffreys,SUCCESS_VOI_DP_TOL,exact-DP-to-tolerance,4,STOP,11.196003783674175,11.196003783674175,0.0,0.23690109268087056,0.0,0.0,3900.0,-3888.8039962163257,0,0,0,0100,VALUE_INTEGRATION_CONVERGED,12,2.6867397195928788e-14,0.5425944733366835,0.2369010926808688,0.0018363150019641615,5.847783542861542,11.359309877426158,15.858027206374953,210,0.0,"{""STOP"": 11.196003783674175, ""p1"": 3.2050562322541403, ""p2"": 10.196003783674174, ""pf"": -18.794943767745856}","{""p1"": 0.0, ""p2"": 0.0, ""pf"": 0.0}","{""0100"": 1.0}"
