parameter,coverage,alpha_j,lower,upper,method,domain,case
p1,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,1
p2,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,1
pf,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,1
p1,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,1
p2,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,1
pf,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,1
p1,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,2
p2,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,2
pf,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,2
p1,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,2
p2,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,2
pf,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,2
p1,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,3
p2,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,3
pf,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,3
p1,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,3
p2,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,3
pf,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,3
p1,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,4
p2,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,4
pf,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,4
p1,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,4
p2,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,4
pf,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,4
p1,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,5
p2,90,0.033333333333333326,0.12150361354262595,0.2997658618400198,clopper_pearson_fixed_n,q2,5
pf,90,0.033333333333333326,0.045870556724087796,0.18307901081197567,clopper_pearson_fixed_n,q2,5
p1,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,5
p2,95,0.01666666666666668,0.11361675058609902,0.31245182531573273,clopper_pearson_fixed_n,q2,5
pf,95,0.01666666666666668,0.04119586025090358,0.19418377920641908,clopper_pearson_fixed_n,q2,5
p1,90,0.033333333333333326,0.014769078866146415,0.11871223214172384,clopper_pearson_fixed_n,q2,6
p2,90,0.033333333333333326,0.014769078866146415,0.11871223214172384,clopper_pearson_fixed_n,q2,6
pf,90,0.033333333333333326,0.014769078866146415,0.11871223214172384,clopper_pearson_fixed_n,q2,6
p1,95,0.01666666666666668,0.012393591163241431,0.12833698620661416,clopper_pearson_fixed_n,q2,6
p2,95,0.01666666666666668,0.012393591163241431,0.12833698620661416,clopper_pearson_fixed_n,q2,6
pf,95,0.01666666666666668,0.012393591163241431,0.12833698620661416,clopper_pearson_fixed_n,q2,6
